age_bracket,education_level,household_income,socioeconomic_class,housing_status,constituency_leaning,vote_national,vote_local,satisfaction_national_government,importance_economy,importance_social_issues,support_welfare_spending,tax_on_wealthy,trust_mainstream_media,concern_political_corruption,climate_priority,immigration_policy_stance,trust_public_institutions,2028__winner,is_fiscally_conservative,is_climate_priority,is_media_skeptic,is_snp_region,is_reform_minded,is_social_justice_focused,education_score,income_score,media_trust_score,gov_satisfaction_score
25–34,Bachelors degree,"under £20,000",Working class,Living with family,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,3.0,0.0,2,1
18–24,No qualification,"£20,000–£40,000",Lower middle class,Homeowner,Other,No,Yes,Very Dissatisfied,Not Important,Very Important,Yes,Yes,Very Low,Somewhat concerned,Yes,More open,Very High,ld,0,1,1,0,0,0,0.0,1.0,0,0
35–44,Bachelors degree,"£60,000-£80,000",Upper middle class,Council housing,Reform,Yes,Yes,Neutral,Very Important,Important,Yes,No,Low,Not concerned,No,Restrictive,Very Low,green,0,0,1,0,0,0,3.0,3.0,1,2
35–44,No qualification,"£80,000 +",Lower middle class,Homeowner,Liberal democrat,No,No,Very Dissatisfied,Very Important,Not Important,Yes,No,Low,Very concerned,No,More open,High,con,0,0,1,0,0,0,0.0,4.0,1,0
35–44,Masters degree,"£40,000–£60,000",Upper middle class,Renter,Reform,Yes,Yes,Dissatisfied,Important,Not Important,No,Yes,Very High,Somewhat concerned,No,Unbothered,High,ld,0,0,0,0,0,0,4.0,2.0,4,1
35–44,A-level or equivalent,"under £20,000",Working class,Council housing,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,2.0,0.0,2,0
45–54,Masters degree,"£20,000–£40,000",Middle class,Council housing,Conservative,Yes,Yes,Very Satisfied,Not Important,Not Important,Yes,Yes,Very High,Not concerned,Yes,Unbothered,High,con,0,1,0,0,0,0,4.0,1.0,4,4
18–24,Bachelors degree,"under £20,000",Working class,Renter,Reform,No,No,Very Dissatisfied,Somewhat Important,Very Important,Yes,No,medium,Not concerned,No,Restrictive,Very High,ld,0,0,0,0,0,0,3.0,0.0,2,0
65+,GCSE or equivalent,"under £20,000",Working class,Council housing,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,1.0,0.0,1,0
65+,Masters degree,"£60,000-£80,000",Lower middle class,Living with family,Labour,Yes,No,Satisfied,Very Important,Not Important,Yes,No,Low,Not concerned,No,Restrictive,Very Low,snp,0,0,1,0,0,0,4.0,3.0,1,3
65+,Masters degree,"£40,000–£60,000",Upper middle class,Renter,Other,Yes,Yes,Dissatisfied,Somewhat Important,Not Important,No,Yes,medium,Not concerned,No,More open,Very Low,con,0,0,0,0,0,0,4.0,2.0,2,1
18–24,A-level or equivalent,"£20,000–£40,000",Working class,Living with family,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,2.0,1.0,1,1
18–24,Bachelors degree,"under £20,000",Lower middle class,Living with family,Green,Yes,Yes,Neutral,Important,Very Important,No,Yes,Very Low,Somewhat concerned,No,Unbothered,High,other,0,0,1,0,0,0,3.0,0.0,0,2
45–54,A-level or equivalent,"£20,000–£40,000",Middle class,Renter,Other,No,Yes,Very Satisfied,Somewhat Important,Not Important,Yes,Yes,Very High,Somewhat concerned,Yes,Restrictive,medium,ld,0,1,0,0,0,0,2.0,1.0,4,4
45–54,A-level or equivalent,"£20,000–£40,000",Working class,Living with family,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,2.0,1.0,2,0
55–64,Masters degree,"under £20,000",Working class,Council housing,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,4.0,0.0,0,0
25–34,Bachelors degree,"under £20,000",Middle class,Council housing,Green,No,Yes,Neutral,Not Important,Very Important,No,Yes,High,Not concerned,Yes,Restrictive,Low,snp,0,1,0,0,0,0,3.0,0.0,3,2
25–34,No qualification,"£40,000–£60,000",Lower middle class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,2.0,0,0
55–64,No qualification,"£20,000–£40,000",Upper middle class,Living with family,Other,Yes,Yes,Very Dissatisfied,Somewhat Important,Important,No,No,medium,Not concerned,No,Very restrictive,Low,other,1,0,0,0,0,0,0.0,1.0,2,0
25–34,Masters degree,"£20,000–£40,000",Upper middle class,Council housing,Green,Yes,No,Dissatisfied,Somewhat Important,Somewhat Important,No,Yes,Very High,Somewhat concerned,No,More open,Low,green,0,0,0,0,0,0,4.0,1.0,4,1
18–24,No qualification,"under £20,000",Working class,Renter,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,0.0,0.0,2,1
35–44,A-level or equivalent,"£40,000–£60,000",Working class,Council housing,Green,No,No,Neutral,Somewhat Important,Very Important,Yes,No,Low,Somewhat concerned,No,Restrictive,Low,snp,0,0,1,0,0,0,2.0,2.0,1,2
18–24,other,"£20,000–£40,000",Middle class,Council housing,Labour,No,Yes,Very Satisfied,Somewhat Important,Important,Yes,Yes,Very Low,Somewhat concerned,Yes,More open,Very Low,green,0,1,1,0,0,0,2.0,1.0,0,4
55–64,A-level or equivalent,"under £20,000",Working class,Council housing,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,2.0,0.0,2,1
18–24,other,"£60,000-£80,000",Lower middle class,Council housing,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,2.0,3.0,0,0
55–64,GCSE or equivalent,"£60,000-£80,000",Upper middle class,Homeowner,Liberal democrat,No,No,Dissatisfied,Important,Important,No,No,High,Not concerned,Yes,Very restrictive,Low,ld,1,1,0,0,0,0,1.0,3.0,3,1
35–44,PHD or higher,"£60,000-£80,000",Middle class,Council housing,Reform,No,Yes,Satisfied,Somewhat Important,Important,Yes,No,Low,Not concerned,Yes,More open,High,green,0,1,1,0,0,0,5.0,3.0,1,3
18–24,No qualification,"£80,000 +",Working class,Living with family,Liberal democrat,Yes,Yes,Dissatisfied,Important,Somewhat Important,Yes,Yes,High,Not concerned,No,Unbothered,Low,green,0,0,0,0,0,0,0.0,4.0,3,1
35–44,Masters degree,"£40,000–£60,000",Working class,Council housing,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,4.0,2.0,1,1
45–54,A-level or equivalent,"under £20,000",Working class,Council housing,Other,Yes,No,Dissatisfied,Very Important,Somewhat Important,No,No,Low,Not concerned,No,Restrictive,Very Low,con,1,0,1,0,0,0,2.0,0.0,1,1
45–54,No qualification,"£60,000-£80,000",Lower middle class,Renter,Green,No,No,Very Satisfied,Not Important,Important,No,Yes,Very Low,Not concerned,No,Very restrictive,medium,ld,0,0,1,0,0,0,0.0,3.0,0,4
45–54,Bachelors degree,"£40,000–£60,000",Middle class,Living with family,Green,Yes,No,Neutral,Very Important,Somewhat Important,Yes,Yes,Very Low,Somewhat concerned,No,Restrictive,High,con,0,0,1,0,0,0,3.0,2.0,0,2
25–34,GCSE or equivalent,"under £20,000",Lower middle class,Renter,Other,No,No,Satisfied,Not Important,Not Important,Yes,No,Low,Very concerned,No,Very restrictive,Low,con,0,0,1,0,0,0,1.0,0.0,1,3
25–34,other,"£40,000–£60,000",Working class,Renter,Reform,Yes,Yes,Satisfied,Very Important,Important,Yes,No,Very High,Not concerned,Yes,More open,Low,con,0,1,0,0,0,0,2.0,2.0,4,3
55–64,other,"£40,000–£60,000",Working class,Council housing,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,2.0,2.0,2,0
45–54,other,"£80,000 +",Working class,Renter,Reform,No,No,Very Satisfied,Somewhat Important,Not Important,No,Yes,Low,Somewhat concerned,No,Unbothered,High,other,0,0,1,0,0,0,2.0,4.0,1,4
45–54,Masters degree,"£60,000-£80,000",Working class,Council housing,Conservative,No,Yes,Neutral,Somewhat Important,Very Important,No,Yes,Very Low,Not concerned,No,Very restrictive,medium,con,0,0,1,0,0,0,4.0,3.0,0,2
65+,Masters degree,"£80,000 +",Working class,Homeowner,Other,No,No,Satisfied,Very Important,Not Important,No,Yes,High,Somewhat concerned,Yes,Very restrictive,Very High,snp,0,1,0,0,0,0,4.0,4.0,3,3
45–54,No qualification,"£20,000–£40,000",Working class,Council housing,Green,Yes,No,Satisfied,Important,Somewhat Important,No,No,Very Low,Very concerned,Yes,Restrictive,Low,con,1,1,1,0,0,0,0.0,1.0,0,3
35–44,A-level or equivalent,"£60,000-£80,000",Working class,Council housing,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,2.0,3.0,2,0
35–44,A-level or equivalent,"£20,000–£40,000",Working class,Renter,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,2.0,1.0,1,1
55–64,other,"£20,000–£40,000",Lower middle class,Council housing,SNP,Yes,Yes,Dissatisfied,Important,Very Important,No,No,High,Not concerned,Yes,Unbothered,Very Low,con,1,1,0,0,0,0,2.0,1.0,3,1
65+,PHD or higher,"£40,000–£60,000",Upper middle class,Living with family,Liberal democrat,Yes,No,Very Satisfied,Important,Very Important,Yes,No,Low,Somewhat concerned,Yes,Restrictive,medium,con,0,1,1,0,0,0,5.0,2.0,1,4
45–54,other,"£80,000 +",Working class,Homeowner,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,2.0,4.0,0,0
45–54,GCSE or equivalent,"£60,000-£80,000",Middle class,Council housing,Conservative,No,Yes,Neutral,Not Important,Important,Yes,No,High,Not concerned,No,Restrictive,medium,snp,0,0,0,0,0,0,1.0,3.0,3,2
35–44,No qualification,"£20,000–£40,000",Upper middle class,Council housing,SNP,No,No,Satisfied,Not Important,Not Important,No,Yes,Low,Very concerned,No,Very restrictive,medium,snp,0,0,1,0,0,0,0.0,1.0,1,3
18–24,Masters degree,"under £20,000",Lower middle class,Council housing,Green,Yes,Yes,Very Dissatisfied,Not Important,Not Important,Yes,No,Very High,Somewhat concerned,No,Very restrictive,Very Low,con,0,0,0,0,0,0,4.0,0.0,4,0
65+,GCSE or equivalent,"£20,000–£40,000",Working class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,1.0,1.0,0,0
25–34,No qualification,"£80,000 +",Working class,Renter,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,0.0,4.0,1,0
45–54,A-level or equivalent,"under £20,000",Middle class,Renter,Other,Yes,No,Satisfied,Not Important,Somewhat Important,No,No,High,Not concerned,No,Restrictive,medium,ld,1,0,0,0,0,0,2.0,0.0,3,3
25–34,PHD or higher,"£40,000–£60,000",Middle class,Renter,Conservative,No,No,Very Satisfied,Important,Important,No,No,Low,Somewhat concerned,Yes,Unbothered,Very Low,con,1,1,1,0,0,0,5.0,2.0,1,4
25–34,PHD or higher,"£80,000 +",Working class,Council housing,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,5.0,4.0,0,0
18–24,Bachelors degree,"£60,000-£80,000",Working class,Living with family,Reform,Yes,Yes,Neutral,Somewhat Important,Very Important,No,No,High,Somewhat concerned,Yes,Unbothered,High,ld,1,1,0,0,0,0,3.0,3.0,3,2
25–34,Masters degree,"under £20,000",Working class,Renter,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,4.0,0.0,2,1
65+,other,"£80,000 +",Working class,Homeowner,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,2.0,4.0,1,1
55–64,PHD or higher,"£80,000 +",Lower middle class,Council housing,Labour,No,Yes,Very Satisfied,Not Important,Very Important,No,No,Very High,Somewhat concerned,Yes,Very restrictive,Very High,ld,1,1,0,0,0,0,5.0,4.0,4,4
35–44,No qualification,"£80,000 +",Working class,Council housing,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,0.0,4.0,2,1
18–24,No qualification,"£20,000–£40,000",Lower middle class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,1.0,0,0
25–34,PHD or higher,"£80,000 +",Working class,Council housing,Labour,No,No,Neutral,Somewhat Important,Somewhat Important,No,Yes,Very High,Somewhat concerned,No,Unbothered,medium,snp,0,0,0,0,0,0,5.0,4.0,4,2
45–54,other,"£40,000–£60,000",Upper middle class,Living with family,Labour,Yes,Yes,Very Satisfied,Very Important,Important,Yes,Yes,High,Somewhat concerned,Yes,Very restrictive,Very High,con,0,1,0,0,0,0,2.0,2.0,3,4
65+,Masters degree,"£40,000–£60,000",Upper middle class,Renter,SNP,No,Yes,Dissatisfied,Somewhat Important,Not Important,Yes,Yes,Very Low,Very concerned,No,Very restrictive,medium,other,0,0,1,0,0,0,4.0,2.0,0,1
35–44,Masters degree,"£40,000–£60,000",Working class,Renter,Reform,No,No,Very Dissatisfied,Not Important,Somewhat Important,No,No,Low,Somewhat concerned,No,Restrictive,Very High,con,1,0,1,0,0,0,4.0,2.0,1,0
18–24,PHD or higher,"£20,000–£40,000",Working class,Living with family,Reform,No,Yes,Very Satisfied,Not Important,Very Important,No,Yes,Low,Very concerned,No,More open,Very Low,con,0,0,1,0,0,0,5.0,1.0,1,4
35–44,other,"£60,000-£80,000",Upper middle class,Living with family,Labour,Yes,No,Dissatisfied,Not Important,Not Important,No,No,medium,Somewhat concerned,Yes,Restrictive,Low,green,1,1,0,0,0,0,2.0,3.0,2,1
25–34,A-level or equivalent,"under £20,000",Working class,Council housing,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,2.0,0.0,1,0
25–34,other,"£20,000–£40,000",Working class,Renter,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,2.0,1.0,1,1
45–54,No qualification,"£20,000–£40,000",Working class,Council housing,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,0.0,1.0,2,1
45–54,PHD or higher,"£20,000–£40,000",Working class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,5.0,1.0,0,0
35–44,No qualification,"£80,000 +",Middle class,Homeowner,Other,Yes,No,Dissatisfied,Very Important,Somewhat Important,No,Yes,medium,Somewhat concerned,Yes,Very restrictive,Very High,con,0,1,0,0,0,0,0.0,4.0,2,1
45–54,PHD or higher,"£40,000–£60,000",Working class,Council housing,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,5.0,2.0,1,0
25–34,other,"under £20,000",Upper middle class,Renter,Reform,No,No,Dissatisfied,Very Important,Somewhat Important,No,Yes,Low,Very concerned,No,More open,High,con,0,0,1,0,0,0,2.0,0.0,1,1
65+,Masters degree,"£60,000-£80,000",Middle class,Homeowner,Other,No,Yes,Satisfied,Very Important,Important,No,No,Very Low,Very concerned,No,Restrictive,High,con,1,0,1,0,0,0,4.0,3.0,0,3
35–44,Masters degree,"£80,000 +",Working class,Renter,Green,No,No,Very Dissatisfied,Very Important,Not Important,Yes,No,Very High,Not concerned,No,Restrictive,High,ld,0,0,0,0,0,0,4.0,4.0,4,0
65+,A-level or equivalent,"£40,000–£60,000",Working class,Homeowner,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,2.0,2.0,1,0
65+,A-level or equivalent,"under £20,000",Working class,Renter,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,2.0,0.0,2,0
35–44,Bachelors degree,"£40,000–£60,000",Working class,Living with family,Other,No,No,Very Dissatisfied,Very Important,Very Important,No,Yes,High,Very concerned,No,Unbothered,medium,con,0,0,0,0,0,0,3.0,2.0,3,0
65+,PHD or higher,"£20,000–£40,000",Working class,Living with family,Conservative,Yes,Yes,Very Dissatisfied,Somewhat Important,Very Important,No,Yes,medium,Very concerned,Yes,Very restrictive,Very Low,ld,0,1,0,0,0,0,5.0,1.0,2,0
55–64,PHD or higher,"under £20,000",Lower middle class,Homeowner,Other,No,No,Neutral,Very Important,Somewhat Important,Yes,No,medium,Somewhat concerned,Yes,Very restrictive,High,con,0,1,0,0,0,0,5.0,0.0,2,2
45–54,No qualification,"under £20,000",Working class,Homeowner,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,0.0,0.0,1,0
35–44,other,"£20,000–£40,000",Working class,Living with family,SNP,Yes,Yes,Dissatisfied,Somewhat Important,Somewhat Important,Yes,No,Low,Somewhat concerned,Yes,Restrictive,medium,snp,0,1,1,0,0,0,2.0,1.0,1,1
18–24,Bachelors degree,"£80,000 +",Middle class,Council housing,Liberal democrat,Yes,No,Neutral,Important,Important,No,Yes,Very Low,Not concerned,Yes,Restrictive,Very Low,green,0,1,1,0,0,0,3.0,4.0,0,2
25–34,A-level or equivalent,"£80,000 +",Middle class,Renter,Conservative,Yes,No,Very Dissatisfied,Somewhat Important,Somewhat Important,Yes,No,Very High,Somewhat concerned,Yes,More open,High,snp,0,1,0,0,0,0,2.0,4.0,4,0
55–64,PHD or higher,"£60,000-£80,000",Middle class,Council housing,Conservative,Yes,No,Dissatisfied,Very Important,Important,Yes,Yes,medium,Very concerned,Yes,Restrictive,medium,green,0,1,0,0,0,0,5.0,3.0,2,1
18–24,No qualification,"£40,000–£60,000",Working class,Council housing,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,0.0,2.0,1,1
25–34,A-level or equivalent,"£20,000–£40,000",Working class,Homeowner,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,2.0,1.0,2,1
18–24,A-level or equivalent,"£60,000-£80,000",Working class,Council housing,SNP,No,Yes,Neutral,Important,Very Important,No,No,Low,Very concerned,Yes,Very restrictive,Very High,snp,1,1,1,0,0,0,2.0,3.0,1,2
35–44,No qualification,"£60,000-£80,000",Middle class,Living with family,Labour,No,No,Neutral,Not Important,Very Important,No,Yes,Very Low,Very concerned,Yes,Unbothered,Very High,green,0,1,1,0,0,0,0.0,3.0,0,2
18–24,GCSE or equivalent,"under £20,000",Working class,Council housing,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,1.0,0.0,2,1
18–24,No qualification,"under £20,000",Upper middle class,Living with family,Green,Yes,Yes,Very Satisfied,Somewhat Important,Very Important,No,Yes,High,Very concerned,Yes,More open,Very High,other,0,1,0,0,0,0,0.0,0.0,3,4
25–34,PHD or higher,"£60,000-£80,000",Lower middle class,Living with family,Reform,No,Yes,Dissatisfied,Somewhat Important,Important,Yes,Yes,Low,Somewhat concerned,No,Very restrictive,medium,other,0,0,1,0,0,0,5.0,3.0,1,1
18–24,No qualification,"£40,000–£60,000",Upper middle class,Renter,Reform,No,Yes,Neutral,Somewhat Important,Not Important,No,No,Low,Not concerned,No,More open,High,other,1,0,1,0,0,0,0.0,2.0,1,2
65+,No qualification,"£60,000-£80,000",Working class,Living with family,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,0.0,3.0,2,0
18–24,other,"£40,000–£60,000",Lower middle class,Renter,Reform,Yes,Yes,Satisfied,Important,Not Important,No,Yes,Very Low,Somewhat concerned,No,Unbothered,Low,green,0,0,1,0,0,0,2.0,2.0,0,3
55–64,other,"£20,000–£40,000",Lower middle class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,2.0,1.0,0,0
65+,A-level or equivalent,"£80,000 +",Lower middle class,Council housing,Green,No,No,Very Dissatisfied,Very Important,Important,Yes,No,Low,Very concerned,Yes,Very restrictive,Very High,con,0,1,1,0,0,0,2.0,4.0,1,0
25–34,other,"£60,000-£80,000",Lower middle class,Homeowner,SNP,Yes,No,Very Satisfied,Not Important,Very Important,No,Yes,Low,Very concerned,Yes,Restrictive,Low,other,0,1,1,0,0,0,2.0,3.0,1,4
18–24,Masters degree,"£40,000–£60,000",Lower middle class,Renter,Green,No,Yes,Satisfied,Not Important,Very Important,Yes,No,medium,Very concerned,No,Very restrictive,Low,ld,0,0,0,0,0,0,4.0,2.0,2,3
65+,GCSE or equivalent,"£20,000–£40,000",Lower middle class,Homeowner,SNP,No,No,Dissatisfied,Not Important,Somewhat Important,Yes,Yes,medium,Very concerned,No,More open,medium,con,0,0,0,0,0,0,1.0,1.0,2,1
18–24,Masters degree,"£60,000-£80,000",Working class,Renter,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,4.0,3.0,2,0
18–24,other,"£80,000 +",Working class,Council housing,Reform,Yes,No,Neutral,Somewhat Important,Very Important,Yes,Yes,Low,Somewhat concerned,Yes,Unbothered,medium,con,0,1,1,0,0,0,2.0,4.0,1,2
25–34,A-level or equivalent,"£80,000 +",Lower middle class,Living with family,Other,No,Yes,Dissatisfied,Very Important,Somewhat Important,Yes,Yes,High,Very concerned,Yes,Very restrictive,Very High,ld,0,1,0,0,0,0,2.0,4.0,3,1
45–54,Bachelors degree,"£80,000 +",Lower middle class,Homeowner,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,3.0,4.0,0,0
55–64,GCSE or equivalent,"under £20,000",Lower middle class,Renter,Conservative,Yes,Yes,Very Dissatisfied,Important,Very Important,Yes,No,Very Low,Very concerned,Yes,Unbothered,Low,con,0,1,1,0,0,0,1.0,0.0,0,0
65+,GCSE or equivalent,"£60,000-£80,000",Upper middle class,Homeowner,SNP,Yes,No,Very Satisfied,Important,Not Important,Yes,Yes,medium,Very concerned,Yes,More open,High,con,0,1,0,0,0,0,1.0,3.0,2,4
55–64,GCSE or equivalent,"£20,000–£40,000",Middle class,Homeowner,Liberal democrat,Yes,No,Very Dissatisfied,Important,Important,No,Yes,High,Somewhat concerned,No,Restrictive,Very Low,snp,0,0,0,0,0,0,1.0,1.0,3,0
35–44,PHD or higher,"£20,000–£40,000",Working class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,5.0,1.0,0,0
18–24,A-level or equivalent,"under £20,000",Working class,Council housing,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,2.0,0.0,1,1
35–44,No qualification,"£20,000–£40,000",Middle class,Living with family,Liberal democrat,No,Yes,Dissatisfied,Somewhat Important,Not Important,Yes,Yes,Very Low,Very concerned,No,Restrictive,medium,con,0,0,1,0,0,0,0.0,1.0,0,1
18–24,PHD or higher,"£80,000 +",Lower middle class,Renter,Labour,Yes,No,Very Dissatisfied,Important,Not Important,No,No,High,Somewhat concerned,No,Restrictive,Very Low,ld,1,0,0,0,0,0,5.0,4.0,3,0
